번호,상호,도로명주소,지번주소,좌표
1,꽃길복권방,서울 강북구 덕릉로 140,서울 강북구 번2동 437-10번지,"127.0294575,37.6349710"
2,다모아,서울 구로구 공원로6나길 39-1 ,서울 구로구 구로동 29-21,"126.8918236,37.5044702"
3,다모아복권명당,서울 구로구 서해안로30길 13-7,서울 구로구 오류동 137-46번지,"126.8443646,37.4933235"
4,다모아복권,서울 구로구 경인로19길 4,서울 구로구 오류동 315-14번지,"126.8428066,37.4959262"
5,팡팡복권방,서울 중구 퇴계로6길 5,서울 중구 회현동1가 194-11번지,"126.9783914,37.5580336"
6,노다지복권방,서울 성북구 화랑로13길 20,서울 성북구 하월곡동 21-103번지,"127.0425190,37.6043268"
7,한경종합광고,서울 송파구 백제고분로 198 정민빌딩,서울 송파구 삼전동 28-8,"127.0885766,37.5039358"
8,노다지복권방,서울 서초구 남부순환로356길 26 ,서울 서초구 양재동 11-87,"127.0379194,37.4837315"
9,하이로또,서울 금천구 금하로 686 ,서울 금천구 시흥동 908-2,"126.9063670,37.4519218"
10,대박찬스,서울 강북구 솔매로 105-1,서울 강북구 미아동 224-58번지,"127.0240314,37.6258036"
11,복권방,서울 구로구 도림로 55-1,서울 구로구 구로4동 767-182번지,"126.8900262,37.4888068"
12,복권,서울 중구 을지로 지하 58,서울 중구 을지로2가 9-7번지,Not found
13,행운마트,서울 중구 마른내로 54-1,서울 중구 인현동1가 97-2번지,"126.9938871,37.5642276"
14,대지사,서울 성동구 왕십리로 362 ,서울 성동구 도선동 363-1,"127.0303052,37.5643624"
15,넘보원 마트,서울 도봉구 도봉로165길 2,서울 도봉구 도봉1동 596-24번지,"127.0447015,37.6777000"
16,수연식품(대박찬스),서울 중랑구 면목로48길 11,서울 중랑구 면목동 458-120번지,"127.0894102,37.5822938"
17,복권,서울 중랑구 망우로30길 8,서울 중랑구 상봉동 136-50번지,"127.0743977,37.5928569"
18,복권나라,서울 송파구 백제고분로32길 23,서울 송파구 삼전동 175번지,"127.0950454,37.5003682"
19,코사마트독산점,서울 금천구 독산로75길 15 ,서울 금천구 독산동 1018-26,"126.9015073,37.4689113"
20,스타공인중개사사무소,서울 종로구 진흥로 484,서울 종로구 신영동 240번지,"126.9605547,37.6051675"
21,코사마트 평창점,서울 종로구 평창11길 5,서울 종로구 평창동 339번지,"126.9666152,37.6062160"
22,코사마트,서울 구로구 공원로 35,서울 구로구 구로5동 108-2번지,"126.8904472,37.5000947"
23,신림용꿈돼지꿈,서울 관악구 남부순환로 1869 ,서울 관악구 봉천동 1673-16,"126.9575783,37.4798463"
24,산성슈퍼,서울 송파구 성내천로63길 6 ,서울 송파구 거여동 577,"127.1572739,37.4903484"
25,복권명당,서울 관악구 장군봉1길 43 ,서울 관악구 봉천동 927-20,"126.9424689,37.4817277"
26,복권세계,서울 구로구 우마길 4,서울 구로구 가리봉동 124-2번지,"126.8874421,37.4823412"
27,히딩크복권방,서울 광진구 자양로13길 62,서울 광진구 자양동 623-28번지,"127.0812273,37.5338990"
28,영광생활유통,서울 금천구 범안로 1186 ,서울 금천구 독산동 1006-19,"126.8934608,37.4662659"
29,복권만화,서울 서초구 사임당로 39,서울 서초구 서초동 1578-5,"127.0141123,37.4884264"
30,사과나무,서울 중구 마른내로 124,서울 중구 오장동 206-37번지,"127.0017889,37.5644330"
31,하이로또복권방,서울 중구 청구로14길 3,서울 중구 신당동 387-60번지,"127.0118831,37.5611404"
